File Path,Actual Species,Predicted Species,Confidence Score (%),Correct Prediction
/content/test/AFRICAN PIED HORNBILL/4.jpg,AFRICAN PIED HORNBILL,GREY HEADED CHACHALACA,45.59,False
/content/test/AFRICAN PIED HORNBILL/5.jpg,AFRICAN PIED HORNBILL,MALABAR HORNBILL,91.73,False
/content/test/AFRICAN PYGMY GOOSE/1.jpg,AFRICAN PYGMY GOOSE,AFRICAN PYGMY GOOSE,99.93,True
/content/test/AFRICAN PYGMY GOOSE/2.jpg,AFRICAN PYGMY GOOSE,AFRICAN PYGMY GOOSE,99.56,True
/content/test/AFRICAN PYGMY GOOSE/3.jpg,AFRICAN PYGMY GOOSE,AFRICAN PYGMY GOOSE,100.0,True
/content/test/AFRICAN PYGMY GOOSE/4.jpg,AFRICAN PYGMY GOOSE,AFRICAN PYGMY GOOSE,99.7,True
/content/test/AFRICAN PYGMY GOOSE/5.jpg,AFRICAN PYGMY GOOSE,AFRICAN PYGMY GOOSE,97.79,True
/content/test/ALBATROSS/1.jpg,ALBATROSS,ALBATROSS,99.59,True
/content/test/ALBATROSS/2.jpg,ALBATROSS,ALBATROSS,99.98,True
/content/test/ALBATROSS/3.jpg,ALBATROSS,ALBATROSS,99.94,True
/content/test/ALBATROSS/4.jpg,ALBATROSS,ALBATROSS,99.93,True
/content/test/ALBATROSS/5.jpg,ALBATROSS,ALBATROSS,99.95,True
/content/test/ALBERTS TOWHEE/1.jpg,ALBERTS TOWHEE,ALBERTS TOWHEE,76.41,True
/content/test/ALBERTS TOWHEE/2.jpg,ALBERTS TOWHEE,ALBERTS TOWHEE,99.61,True
/content/test/ALBERTS TOWHEE/3.jpg,ALBERTS TOWHEE,ALBERTS TOWHEE,99.82,True
/content/test/ALBERTS TOWHEE/4.jpg,ALBERTS TOWHEE,ALBERTS TOWHEE,92.31,True
/content/test/ALBERTS TOWHEE/5.jpg,ALBERTS TOWHEE,ALBERTS TOWHEE,99.43,True
/content/test/ALEXANDRINE PARAKEET/1.jpg,ALEXANDRINE PARAKEET,ALEXANDRINE PARAKEET,81.19,True
/content/test/ALEXANDRINE PARAKEET/2.jpg,ALEXANDRINE PARAKEET,ALEXANDRINE PARAKEET,95.76,True
/content/test/ALEXANDRINE PARAKEET/3.jpg,ALEXANDRINE PARAKEET,ALEXANDRINE PARAKEET,99.98,True
/content/test/ALEXANDRINE PARAKEET/4.jpg,ALEXANDRINE PARAKEET,GREEN MAGPIE,50.23,False
/content/test/ALEXANDRINE PARAKEET/5.jpg,ALEXANDRINE PARAKEET,ALEXANDRINE PARAKEET,99.99,True
/content/test/ALPINE CHOUGH/1.jpg,ALPINE CHOUGH,ALPINE CHOUGH,95.55,True
/content/test/ALPINE CHOUGH/2.jpg,ALPINE CHOUGH,ALPINE CHOUGH,46.55,True
/content/test/ALPINE CHOUGH/3.jpg,ALPINE CHOUGH,VIOLET TURACO,34.17,False
/content/test/ALPINE CHOUGH/4.jpg,ALPINE CHOUGH,ALPINE CHOUGH,98.3,True
/content/test/ALPINE CHOUGH/5.jpg,ALPINE CHOUGH,CROW,53.87,False
/content/test/ALTAMIRA YELLOWTHROAT/1.jpg,ALTAMIRA YELLOWTHROAT,ALTAMIRA YELLOWTHROAT,92.83,True
/content/test/ALTAMIRA YELLOWTHROAT/2.jpg,ALTAMIRA YELLOWTHROAT,ALTAMIRA YELLOWTHROAT,80.34,True
/content/test/ALTAMIRA YELLOWTHROAT/3.jpg,ALTAMIRA YELLOWTHROAT,CRESTED SHRIKETIT,34.6,False
/content/test/ALTAMIRA YELLOWTHROAT/4.jpg,ALTAMIRA YELLOWTHROAT,ANIANIAU,49.34,False
/content/test/ALTAMIRA YELLOWTHROAT/5.jpg,ALTAMIRA YELLOWTHROAT,PATAGONIAN SIERRA FINCH,30.45,False
/content/test/AMERICAN AVOCET/1.jpg,AMERICAN AVOCET,AMERICAN AVOCET,97.69,True
/content/test/AMERICAN AVOCET/2.jpg,AMERICAN AVOCET,AMERICAN AVOCET,49.27,True
/content/test/AMERICAN AVOCET/3.jpg,AMERICAN AVOCET,AMERICAN AVOCET,99.88,True
/content/test/AMERICAN AVOCET/4.jpg,AMERICAN AVOCET,AMERICAN AVOCET,99.88,True
/content/test/AMERICAN AVOCET/5.jpg,AMERICAN AVOCET,AMERICAN AVOCET,98.36,True
/content/test/AMERICAN BITTERN/1.jpg,AMERICAN BITTERN,AMERICAN BITTERN,99.94,True
/content/test/AMERICAN BITTERN/2.jpg,AMERICAN BITTERN,AMERICAN BITTERN,97.92,True
/content/test/AMERICAN BITTERN/3.jpg,AMERICAN BITTERN,AMERICAN BITTERN,99.91,True
/content/test/AMERICAN BITTERN/4.jpg,AMERICAN BITTERN,AMERICAN BITTERN,99.77,True
/content/test/AMERICAN BITTERN/5.jpg,AMERICAN BITTERN,AMERICAN BITTERN,99.78,True
/content/test/AMERICAN COOT/1.jpg,AMERICAN COOT,AMERICAN COOT,99.97,True
/content/test/AMERICAN COOT/2.jpg,AMERICAN COOT,AMERICAN COOT,100.0,True
/content/test/AMERICAN COOT/3.jpg,AMERICAN COOT,AMERICAN COOT,99.72,True
/content/test/AMERICAN COOT/4.jpg,AMERICAN COOT,AMERICAN COOT,96.98,True
/content/test/AMERICAN COOT/5.jpg,AMERICAN COOT,AMERICAN COOT,100.0,True
/content/test/AMERICAN DIPPER/1.jpg,AMERICAN DIPPER,AMERICAN DIPPER,99.97,True
/content/test/AMERICAN DIPPER/2.jpg,AMERICAN DIPPER,AMERICAN DIPPER,100.0,True
/content/test/AMERICAN DIPPER/3.jpg,AMERICAN DIPPER,AMERICAN DIPPER,89.65,True
/content/test/AMERICAN DIPPER/4.jpg,AMERICAN DIPPER,AMERICAN DIPPER,99.99,True
/content/test/AMERICAN DIPPER/5.jpg,AMERICAN DIPPER,AMERICAN DIPPER,99.71,True
/content/test/AMERICAN FLAMINGO/1.jpg,AMERICAN FLAMINGO,AMERICAN FLAMINGO,92.41,True
/content/test/AMERICAN FLAMINGO/2.jpg,AMERICAN FLAMINGO,AMERICAN FLAMINGO,99.93,True
/content/test/AMERICAN FLAMINGO/3.jpg,AMERICAN FLAMINGO,AMERICAN FLAMINGO,99.99,True
/content/test/AMERICAN FLAMINGO/4.jpg,AMERICAN FLAMINGO,AMERICAN FLAMINGO,99.87,True
/content/test/AMERICAN FLAMINGO/5.jpg,AMERICAN FLAMINGO,AMERICAN FLAMINGO,100.0,True
/content/test/AMERICAN GOLDFINCH/1.jpg,AMERICAN GOLDFINCH,AMERICAN GOLDFINCH,67.3,True
/content/test/AMERICAN GOLDFINCH/2.jpg,AMERICAN GOLDFINCH,AMERICAN GOLDFINCH,99.36,True
/content/test/AMERICAN GOLDFINCH/3.jpg,AMERICAN GOLDFINCH,AMERICAN GOLDFINCH,97.16,True
/content/test/AMERICAN GOLDFINCH/4.jpg,AMERICAN GOLDFINCH,AMERICAN GOLDFINCH,93.61,True
/content/test/AMERICAN GOLDFINCH/5.jpg,AMERICAN GOLDFINCH,AMERICAN GOLDFINCH,88.1,True
/content/test/AMERICAN KESTREL/1.jpg,AMERICAN KESTREL,AMERICAN KESTREL,99.97,True
/content/test/AMERICAN KESTREL/2.jpg,AMERICAN KESTREL,AMERICAN KESTREL,98.09,True
/content/test/AMERICAN KESTREL/3.jpg,AMERICAN KESTREL,AMERICAN KESTREL,99.94,True
/content/test/AMERICAN KESTREL/4.jpg,AMERICAN KESTREL,AMERICAN KESTREL,99.9,True
/content/test/AMERICAN KESTREL/5.jpg,AMERICAN KESTREL,AMERICAN KESTREL,99.23,True
/content/test/AMERICAN PIPIT/1.jpg,AMERICAN PIPIT,AMERICAN PIPIT,92.8,True
/content/test/AMERICAN PIPIT/2.jpg,AMERICAN PIPIT,LARK BUNTING,29.53,False
/content/test/AMERICAN PIPIT/3.jpg,AMERICAN PIPIT,AMERICAN PIPIT,99.7,True
/content/test/AMERICAN PIPIT/4.jpg,AMERICAN PIPIT,AMERICAN PIPIT,81.98,True
/content/test/AMERICAN PIPIT/5.jpg,AMERICAN PIPIT,AMERICAN PIPIT,44.29,True
/content/test/AMERICAN REDSTART/1.jpg,AMERICAN REDSTART,AMERICAN REDSTART,99.88,True
/content/test/AMERICAN REDSTART/2.jpg,AMERICAN REDSTART,AMERICAN REDSTART,97.37,True
/content/test/AMERICAN REDSTART/3.jpg,AMERICAN REDSTART,AMERICAN REDSTART,90.38,True
/content/test/AMERICAN REDSTART/4.jpg,AMERICAN REDSTART,SAYS PHOEBE,34.52,False
/content/test/AMERICAN REDSTART/5.jpg,AMERICAN REDSTART,AMERICAN REDSTART,99.4,True
/content/test/AMERICAN ROBIN/1.jpg,AMERICAN ROBIN,AMERICAN ROBIN,90.01,True
/content/test/AMERICAN ROBIN/2.jpg,AMERICAN ROBIN,AMERICAN ROBIN,69.18,True
/content/test/AMERICAN ROBIN/3.jpg,AMERICAN ROBIN,AMERICAN ROBIN,97.73,True
/content/test/AMERICAN ROBIN/4.jpg,AMERICAN ROBIN,AMERICAN ROBIN,96.2,True
/content/test/AMERICAN ROBIN/5.jpg,AMERICAN ROBIN,AMERICAN ROBIN,96.15,True
/content/test/AMERICAN WIGEON/1.jpg,AMERICAN WIGEON,AMERICAN WIGEON,32.76,True
/content/test/AMERICAN WIGEON/2.jpg,AMERICAN WIGEON,BAIKAL TEAL,52.47,False
/content/test/AMERICAN WIGEON/3.jpg,AMERICAN WIGEON,SPOTTED WHISTLING DUCK,90.46,False
/content/test/AMERICAN WIGEON/4.jpg,AMERICAN WIGEON,TEAL DUCK,63.82,False
/content/test/AMERICAN WIGEON/5.jpg,AMERICAN WIGEON,NORTHERN SHOVELER,37.06,False
/content/test/AMETHYST WOODSTAR/1.jpg,AMETHYST WOODSTAR,AMETHYST WOODSTAR,79.41,True
/content/test/AMETHYST WOODSTAR/2.jpg,AMETHYST WOODSTAR,AMETHYST WOODSTAR,79.54,True
/content/test/AMETHYST WOODSTAR/3.jpg,AMETHYST WOODSTAR,AMETHYST WOODSTAR,98.26,True
/content/test/AMETHYST WOODSTAR/4.jpg,AMETHYST WOODSTAR,AMETHYST WOODSTAR,82.83,True
/content/test/AMETHYST WOODSTAR/5.jpg,AMETHYST WOODSTAR,AMETHYST WOODSTAR,66.22,True
/content/test/ANDEAN GOOSE/1.jpg,ANDEAN GOOSE,ANDEAN GOOSE,94.73,True
/content/test/ANDEAN GOOSE/2.jpg,ANDEAN GOOSE,ANDEAN GOOSE,90.47,True
/content/test/ANDEAN GOOSE/3.jpg,ANDEAN GOOSE,ANDEAN GOOSE,98.61,True
/content/test/ANDEAN GOOSE/4.jpg,ANDEAN GOOSE,ANDEAN GOOSE,93.82,True
/content/test/ANDEAN GOOSE/5.jpg,ANDEAN GOOSE,ASIAN OPENBILL STORK,60.13,False
/content/test/ANDEAN LAPWING/1.jpg,ANDEAN LAPWING,ANDEAN LAPWING,77.31,True
/content/test/ANDEAN LAPWING/2.jpg,ANDEAN LAPWING,ANDEAN LAPWING,96.8,True
/content/test/ANDEAN LAPWING/3.jpg,ANDEAN LAPWING,ANDEAN LAPWING,93.85,True
/content/test/ANDEAN LAPWING/4.jpg,ANDEAN LAPWING,ANDEAN LAPWING,98.04,True
/content/test/ANDEAN LAPWING/5.jpg,ANDEAN LAPWING,ANDEAN LAPWING,95.9,True
/content/test/ANDEAN SISKIN/1.jpg,ANDEAN SISKIN,ANDEAN SISKIN,94.54,True
/content/test/ANDEAN SISKIN/2.jpg,ANDEAN SISKIN,ANDEAN SISKIN,97.62,True
/content/test/ANDEAN SISKIN/3.jpg,ANDEAN SISKIN,ANDEAN SISKIN,67.37,True
/content/test/ANDEAN SISKIN/4.jpg,ANDEAN SISKIN,ANDEAN SISKIN,92.29,True
/content/test/ANDEAN SISKIN/5.jpg,ANDEAN SISKIN,ANDEAN SISKIN,93.58,True
/content/test/ANHINGA/1.jpg,ANHINGA,ANHINGA,88.18,True
/content/test/ANHINGA/2.jpg,ANHINGA,ANHINGA,99.87,True
/content/test/ANHINGA/3.jpg,ANHINGA,ANHINGA,99.03,True
/content/test/ANHINGA/4.jpg,ANHINGA,ANHINGA,99.62,True
/content/test/ANHINGA/5.jpg,ANHINGA,ANHINGA,99.8,True
/content/test/ANIANIAU/1.jpg,ANIANIAU,ANIANIAU,95.61,True
/content/test/ANIANIAU/2.jpg,ANIANIAU,ANIANIAU,99.48,True
/content/test/ANIANIAU/3.jpg,ANIANIAU,PATAGONIAN SIERRA FINCH,69.11,False
/content/test/ANIANIAU/4.jpg,ANIANIAU,ANIANIAU,72.74,True
/content/test/ANIANIAU/5.jpg,ANIANIAU,ANIANIAU,97.25,True
/content/test/ANNAS HUMMINGBIRD/1.jpg,ANNAS HUMMINGBIRD,ANNAS HUMMINGBIRD,93.82,True
/content/test/ANNAS HUMMINGBIRD/2.jpg,ANNAS HUMMINGBIRD,ANNAS HUMMINGBIRD,99.93,True
/content/test/ANNAS HUMMINGBIRD/3.jpg,ANNAS HUMMINGBIRD,ANNAS HUMMINGBIRD,99.68,True
/content/test/ANNAS HUMMINGBIRD/4.jpg,ANNAS HUMMINGBIRD,ANNAS HUMMINGBIRD,99.79,True
/content/test/ANNAS HUMMINGBIRD/5.jpg,ANNAS HUMMINGBIRD,ANNAS HUMMINGBIRD,86.53,True
/content/test/ANTBIRD/1.jpg,ANTBIRD,ANTBIRD,52.18,True
/content/test/ANTBIRD/2.jpg,ANTBIRD,ANTBIRD,81.98,True
/content/test/ANTBIRD/3.jpg,ANTBIRD,ANTBIRD,96.3,True
/content/test/ANTBIRD/4.jpg,ANTBIRD,ANTBIRD,98.76,True
/content/test/ANTBIRD/5.jpg,ANTBIRD,ANTBIRD,92.61,True
/content/test/ANTILLEAN EUPHONIA/1.jpg,ANTILLEAN EUPHONIA,ANTILLEAN EUPHONIA,98.97,True
/content/test/ANTILLEAN EUPHONIA/2.jpg,ANTILLEAN EUPHONIA,PATAGONIAN SIERRA FINCH,46.44,False
/content/test/ANTILLEAN EUPHONIA/3.jpg,ANTILLEAN EUPHONIA,ANTILLEAN EUPHONIA,95.83,True
/content/test/ANTILLEAN EUPHONIA/4.jpg,ANTILLEAN EUPHONIA,ANTILLEAN EUPHONIA,61.12,True
/content/test/ANTILLEAN EUPHONIA/5.jpg,ANTILLEAN EUPHONIA,ANTILLEAN EUPHONIA,46.46,True
/content/test/APAPANE/1.jpg,APAPANE,APAPANE,78.76,True
/content/test/APAPANE/2.jpg,APAPANE,APAPANE,91.17,True
/content/test/APAPANE/3.jpg,APAPANE,APAPANE,62.13,True
/content/test/APAPANE/4.jpg,APAPANE,JAPANESE ROBIN,68.54,False
/content/test/APAPANE/5.jpg,APAPANE,APAPANE,55.84,True
/content/test/APOSTLEBIRD/1.jpg,APOSTLEBIRD,APOSTLEBIRD,93.4,True
/content/test/APOSTLEBIRD/2.jpg,APOSTLEBIRD,APOSTLEBIRD,87.23,True
/content/test/APOSTLEBIRD/3.jpg,APOSTLEBIRD,APOSTLEBIRD,95.33,True
/content/test/APOSTLEBIRD/4.jpg,APOSTLEBIRD,APOSTLEBIRD,48.15,True
/content/test/APOSTLEBIRD/5.jpg,APOSTLEBIRD,APOSTLEBIRD,86.08,True
/content/test/ARARIPE MANAKIN/1.jpg,ARARIPE MANAKIN,ARARIPE MANAKIN,97.66,True
/content/test/ARARIPE MANAKIN/2.jpg,ARARIPE MANAKIN,ARARIPE MANAKIN,99.95,True
/content/test/ARARIPE MANAKIN/3.jpg,ARARIPE MANAKIN,ARARIPE MANAKIN,99.94,True
/content/test/ARARIPE MANAKIN/4.jpg,ARARIPE MANAKIN,ARARIPE MANAKIN,99.9,True
/content/test/ARARIPE MANAKIN/5.jpg,ARARIPE MANAKIN,ARARIPE MANAKIN,98.86,True
/content/test/ASHY STORM PETREL/1.jpg,ASHY STORM PETREL,ASHY STORM PETREL,87.91,True
/content/test/ASHY STORM PETREL/2.jpg,ASHY STORM PETREL,ASHY STORM PETREL,76.3,True
/content/test/ASHY STORM PETREL/3.jpg,ASHY STORM PETREL,ASHY STORM PETREL,95.72,True
/content/test/ASHY STORM PETREL/4.jpg,ASHY STORM PETREL,ASHY STORM PETREL,95.11,True
/content/test/ASHY STORM PETREL/5.jpg,ASHY STORM PETREL,ASHY STORM PETREL,50.84,True
/content/test/ASHY THRUSHBIRD/1.jpg,ASHY THRUSHBIRD,ASHY THRUSHBIRD,90.31,True
/content/test/ASHY THRUSHBIRD/2.jpg,ASHY THRUSHBIRD,ANTBIRD,67.6,False
/content/test/ASHY THRUSHBIRD/3.jpg,ASHY THRUSHBIRD,ASHY THRUSHBIRD,95.78,True
/content/test/ASHY THRUSHBIRD/4.jpg,ASHY THRUSHBIRD,ASHY THRUSHBIRD,93.29,True
/content/test/ASHY THRUSHBIRD/5.jpg,ASHY THRUSHBIRD,ASHY THRUSHBIRD,87.05,True
/content/test/ASIAN CRESTED IBIS/1.jpg,ASIAN CRESTED IBIS,ASIAN CRESTED IBIS,86.46,True
/content/test/ASIAN CRESTED IBIS/2.jpg,ASIAN CRESTED IBIS,ASIAN CRESTED IBIS,46.08,True
/content/test/ASIAN CRESTED IBIS/3.jpg,ASIAN CRESTED IBIS,ASIAN CRESTED IBIS,99.36,True
/content/test/ASIAN CRESTED IBIS/4.jpg,ASIAN CRESTED IBIS,ASIAN CRESTED IBIS,97.7,True
/content/test/ASIAN CRESTED IBIS/5.jpg,ASIAN CRESTED IBIS,ASIAN CRESTED IBIS,99.92,True
/content/test/ASIAN DOLLARD BIRD/1.jpg,ASIAN DOLLARD BIRD,ROSE BREASTED COCKATOO,48.69,False
/content/test/ASIAN DOLLARD BIRD/2.jpg,ASIAN DOLLARD BIRD,ASIAN DOLLARD BIRD,91.61,True
/content/test/ASIAN DOLLARD BIRD/3.jpg,ASIAN DOLLARD BIRD,ASIAN DOLLARD BIRD,67.43,True
/content/test/ASIAN DOLLARD BIRD/4.jpg,ASIAN DOLLARD BIRD,ASIAN DOLLARD BIRD,52.28,True
/content/test/ASIAN DOLLARD BIRD/5.jpg,ASIAN DOLLARD BIRD,ASIAN DOLLARD BIRD,30.48,True
/content/test/ASIAN GREEN BEE EATER/1.jpg,ASIAN GREEN BEE EATER,ASIAN GREEN BEE EATER,99.95,True
/content/test/ASIAN GREEN BEE EATER/2.jpg,ASIAN GREEN BEE EATER,ASIAN GREEN BEE EATER,84.54,True
/content/test/ASIAN GREEN BEE EATER/3.jpg,ASIAN GREEN BEE EATER,AFRICAN EMERALD CUCKOO,19.65,False
/content/test/ASIAN GREEN BEE EATER/4.jpg,ASIAN GREEN BEE EATER,ASIAN GREEN BEE EATER,82.63,True
/content/test/ASIAN GREEN BEE EATER/5.jpg,ASIAN GREEN BEE EATER,ASIAN GREEN BEE EATER,99.89,True
/content/test/ASIAN OPENBILL STORK/1.jpg,ASIAN OPENBILL STORK,ASIAN OPENBILL STORK,99.93,True
/content/test/ASIAN OPENBILL STORK/2.jpg,ASIAN OPENBILL STORK,ASIAN OPENBILL STORK,99.85,True
/content/test/ASIAN OPENBILL STORK/3.jpg,ASIAN OPENBILL STORK,ASIAN OPENBILL STORK,99.99,True
/content/test/ASIAN OPENBILL STORK/4.jpg,ASIAN OPENBILL STORK,ASIAN OPENBILL STORK,99.99,True
/content/test/ASIAN OPENBILL STORK/5.jpg,ASIAN OPENBILL STORK,ASIAN OPENBILL STORK,100.0,True
/content/test/AUCKLAND SHAQ/1.jpg,AUCKLAND SHAQ,AUCKLAND SHAQ,33.54,True
/content/test/AUCKLAND SHAQ/2.jpg,AUCKLAND SHAQ,AUCKLAND SHAQ,85.0,True
/content/test/AUCKLAND SHAQ/3.jpg,AUCKLAND SHAQ,AUCKLAND SHAQ,96.47,True
/content/test/AUCKLAND SHAQ/4.jpg,AUCKLAND SHAQ,AUCKLAND SHAQ,71.3,True
/content/test/AUCKLAND SHAQ/5.jpg,AUCKLAND SHAQ,AUCKLAND SHAQ,75.69,True
/content/test/AUSTRAL CANASTERO/1.jpg,AUSTRAL CANASTERO,CACTUS WREN,50.76,False
/content/test/AUSTRAL CANASTERO/2.jpg,AUSTRAL CANASTERO,AUSTRAL CANASTERO,88.6,True
/content/test/AUSTRAL CANASTERO/3.jpg,AUSTRAL CANASTERO,CRIMSON CHAT,51.5,False
/content/test/AUSTRAL CANASTERO/4.jpg,AUSTRAL CANASTERO,GRAY CATBIRD,40.49,False
/content/test/AUSTRAL CANASTERO/5.jpg,AUSTRAL CANASTERO,AUSTRAL CANASTERO,84.63,True
/content/test/AUSTRALASIAN FIGBIRD/1.jpg,AUSTRALASIAN FIGBIRD,AUSTRALASIAN FIGBIRD,97.75,True
/content/test/AUSTRALASIAN FIGBIRD/2.jpg,AUSTRALASIAN FIGBIRD,AUSTRALASIAN FIGBIRD,92.38,True
/content/test/AUSTRALASIAN FIGBIRD/3.jpg,AUSTRALASIAN FIGBIRD,AUSTRALASIAN FIGBIRD,99.69,True
/content/test/AUSTRALASIAN FIGBIRD/4.jpg,AUSTRALASIAN FIGBIRD,AUSTRALASIAN FIGBIRD,99.97,True
/content/test/AUSTRALASIAN FIGBIRD/5.jpg,AUSTRALASIAN FIGBIRD,AUSTRALASIAN FIGBIRD,97.74,True
/content/test/AVADAVAT/1.jpg,AVADAVAT,AVADAVAT,90.68,True
/content/test/AVADAVAT/2.jpg,AVADAVAT,AVADAVAT,99.88,True
/content/test/AVADAVAT/3.jpg,AVADAVAT,AUSTRALASIAN FIGBIRD,42.79,False
/content/test/AVADAVAT/4.jpg,AVADAVAT,AVADAVAT,98.09,True
/content/test/AVADAVAT/5.jpg,AVADAVAT,AVADAVAT,98.87,True
/content/test/AZARAS SPINETAIL/1.jpg,AZARAS SPINETAIL,AZARAS SPINETAIL,73.57,True
/content/test/AZARAS SPINETAIL/2.jpg,AZARAS SPINETAIL,AZARAS SPINETAIL,90.67,True
/content/test/AZARAS SPINETAIL/3.jpg,AZARAS SPINETAIL,AZARAS SPINETAIL,99.48,True
/content/test/AZARAS SPINETAIL/4.jpg,AZARAS SPINETAIL,AZARAS SPINETAIL,99.41,True
/content/test/AZARAS SPINETAIL/5.jpg,AZARAS SPINETAIL,AZARAS SPINETAIL,99.75,True
/content/test/AZURE BREASTED PITTA/1.jpg,AZURE BREASTED PITTA,AZURE BREASTED PITTA,99.99,True
/content/test/AZURE BREASTED PITTA/2.jpg,AZURE BREASTED PITTA,AZURE BREASTED PITTA,99.97,True
/content/test/AZURE BREASTED PITTA/3.jpg,AZURE BREASTED PITTA,AZURE BREASTED PITTA,99.98,True
/content/test/AZURE BREASTED PITTA/4.jpg,AZURE BREASTED PITTA,AZURE BREASTED PITTA,99.98,True
/content/test/AZURE BREASTED PITTA/5.jpg,AZURE BREASTED PITTA,AZURE BREASTED PITTA,96.78,True
/content/test/AZURE JAY/1.jpg,AZURE JAY,AZURE JAY,93.3,True
